,title,singer,id,Genre,Lyric
11206,TRÒ ĐÙA (Cover),Hương Ly,134243.0,"Việt Nam, V-Pop","Để giờ đây, riêng anh nhận lấy 
 Chỉ toàn những đắng cay 
 Nhớ hôm nào em đã nói đôi ta 
 Sẽ mãi bên nhau đến trọn đời 
 Nhưng anh nào đâu biết được 
 Sau lưng em đã coi anh như một trò đùa 
 Người luôn che chở em, quan tâm em luôn là anh 
 Người bên em mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm phải không em 
 Liệu rằng khi mất đi em có còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn 
 Nhớ hôm nào, em đã nói đôi ta 
 Sẽ mãi bên nhau đến trọn đời 
 Nhưng anh nào đâu biết được 
 Sau lưng em đã coi anh như một trò đùa 
 Người luôn che chở em, quan tâm em 
 Vẫn luôn là anh 
 Người bên em mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm phải không em 
 Liệu rằng khi mất đi em có còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn 
 Anh đã luôn từng nghĩ em sẽ mãi mãi bên anh 
 Anh đã luôn từng nghĩ rằng em yêu anh 
 Người luôn che chở em, quan tâm em 
 Vẫn luôn là anh 
 Người bên em mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm phải không em 
 Liệu rằng khi mất đi em sẽ còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn"
11207,Trò Đùa (Lofi ver),Quang Đăng Trần,134244.0,"Việt Nam, V-Pop","Để giờ đây, riêng anh nhận lấy 
 Chỉ toàn những đắng cay 
 Nhớ hôm nào em đã nói đôi ta 
 Sẽ mãi bên nhau đến trọn đời 
 Nhưng anh nào đâu biết được 
 Sau lưng em đã coi anh 
 Như một trò đùa 
 Người luôn che chở em 
 Quan tâm em luôn là anh 
 Người bên em 
 Mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi 
 Không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm 
 Phải không em 
 Liệu rằng khi mất đi 
 Em có còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn 
 Nhớ hôm nào, em đã nói đôi ta 
 Sẽ mãi bên nhau đến trọn đời 
 Nhưng anh nào đâu biết được 
 Sau lưng em đã coi anh 
 Như một trò đùa 
 Người luôn che chở em, quan tâm em 
 Vẫn luôn là anh 
 Người bên em 
 Mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi 
 Không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm 
 Phải không em 
 Liệu rằng khi mất đi 
 Em có còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn 
 Anh đã luôn từng nghĩ 
 Em sẽ mãi mãi bên anh 
 Anh đã luôn từng nghĩ rằng 
 Em yêu anh 
 Người luôn che chở em 
 Quan tâm em là anh 
 Người bên em 
 Mỗi khi em vui buồn là anh 
 Vậy tại sao cất bước ra đi 
 Không một lời nói 
 Rồi em hạnh phúc 
 Trong vòng tay ai không phải anh 
 Trò đùa ấy có quá vô tâm 
 Phải không em 
 Liệu rằng khi mất đi 
 Em sẽ còn hối tiếc 
 Chấp nhận mất em còn hơn 
 Là tự làm tổn thương mình nhiều hơn"
11208,TRÒ ĐÙA (TONE NỮ),Quang Đăng Trần,134245.0,"Việt Nam, Nhạc Trữ Tình",
11209,Trăng Về Thôn Dã,Mai Kiều,134246.0,"Việt Nam, Nhạc Trữ Tình, Nhạc Dân Ca - Quê Hương","Mây trắng bay qua 
 Khi trăng dần lan 
 Muôn câu hò 
 Nhịp nhàng khắp thôn trang 
 Đoàn người say sưa 
 Vui tiếng hát vang 
 Lúa dâng sữa ngọt 
 Đậm tình ta với nàng. 
 Đêm lắng sâu 
 Khi sương lam dần xuống 
 Hương ngạt ngào 
 Tình ruộng sắn ngô thơm 
 Trời về khuya 
 Nghe man mác gió lộng 
 Chắp duyên thắm dịu 
 Đẹp tình ta với mình. 
 Ôi.. thoáng nghe câu hò 
 Sớm bên nhẹ ngân ru hò 
 Hò hò khoan tự do ấm no 
 Nắm tay hát lên 
 Ngàn câu thanh bình 
 Tình tang tình 
 Đồng quê tốt tươi 
 Ánh trăng đang tỏa sáng ngời 
 Tình tang ơ này tình tang 
 Ta ngước xem 
 Ông sao thần nông 
 Bên sông 
 Ngân hà.... vắng .... 
 Bóng ngưu lang 
 Trầm ngâm nhớ nàng. 
 Anh có nghe chăng 
 Dư âm đồng quê 
 Khi trăng ngàn 
 Mờ tỏa chiếu trên đê 
 Đoàn người nông phu 
 Vui gánh lúa về 
 Bóng trai gái làng 
 Hẹn hò nhau ước... thề.... 
 Đom đóm bay quanh 
 Trên ao bèo xa 
 Khi bao người 
 Dìu dịu giấc nam kha 
 Mộng triền miên 
 Say sưa dưới mái vàng 
 Ánh trăng khuất chìm vào 
 Rặng tre cuối... làng... 
 Ôi... thoáng nghe câu hò 
 Sớm bên nhẹ ngân ru hò 
 Hò hò khoan tự do ấm no 
 Nắm tay hát lên 
 Ngàn câu thanh bình 
 Tình tang tình 
 Đồng quê tốt tươi 
 Ánh trăng đang tỏa sáng ngời 
 Tình tang ơ này tình tang 
 Ta ngước xem 
 Ông sao thần nông 
 Bên sông 
 Ngân hà.... vắng .... 
 Bóng ngưu lang 
 Trầm ngâm nhớ nàng. 
 Anh có nghe chăng 
 Dư âm đồng quê 
 Khi trăng ngàn 
 Mờ tỏa chiếu trên đê 
 Đoàn người nông phu 
 Vui gánh lúa về 
 Bóng trai gái làng 
 Hẹn hò nhau ước... thề.... 
 Đom đóm bay quanh 
 Trên ao bèo xa 
 Khi bao người 
 Dìu dịu giấc nam kha 
 Mộng triền miên 
 Say sưa dưới mái vàng 
 Ánh trăng khuất chìm vào 
 Rặng tre cuối... làng... 
 Ánh trăng khuất chìm vào 
 Rặng tre cuối... làng... 
 Ánh trăng khuất chìm vào 
 Rặng tre cuối... làng..."
11210,TẾT NAY CON SẼ VỀ,PHƯƠNG TRẦN,134248.0,"Việt Nam, V-Pop","Bao nhiêu năm con ở xa 
 Bao nhiêu xuân con chưa về nhà 
 Đón cái tết đón giao thừa 
 Bên mâm dưa bên bàn bánh mứt 
 Em thơ trông ai cũng trông 
 Nghe râm ran hát ca ngoài đồng 
 Tía hỏi má hổng biết tết này 
 Thằng Hai phương xa 
 Nó có dìa kịp không 
 Rộn vang chào tết tết tết tết tết 
 Đã đến đây rồi tết tết tết tết 
 Đến muôn nhà tết tết tết tết tết 
 Cánh mai vàng ươm 
 Như khoe sắc hương 
 Ngọc ngà ngọc tết tết tết tết tết 
 Đi chúc ông bà tết tết tết tết 
 Nhấp ly trà tết tết tết tết tết tết 
 Tết này vui quá con sẽ 
 Năm nay con sẽ về 
 Nơi con quên hết những bộn bề 
 Sắm chiếc áo sắm đôi giày 
 Và dăm điều hay làm quà cho sau 
 Mua thêm trầu thêm bánh mứt 
 Để giúp mẹ cha lúc con xa nhà 
 Ấm áp quá hai tiếng gia đình 
 Cùng quây quần vui 
 Đón chào năm mới 
 Rộn vang chào tết tết tết tết tết 
 Đã đến đây rồi tết tết tết tết 
 Đến muôn nhà tết tết tết tết tết 
 Cánh mai vàng ươm 
 Như khoe sắc hương 
 Ngọc ngà ngọc tết tết tết tết tết 
 Đi chúc ông bà tết tết tết tết 
 Nhấp ly trà tết tết tết tết tết tết 
 Tết này vui quá con sẽ trở về 
 Tết tết tết tết 
 Tết đến rồi tết ơi 
 Tết tết tết tết 
 Tết vui quá tết ơi 
 Tết tết tết tết 
 Tết đến rồi tết ơi 
 Tết tết tết tết 
 Tết vui quá 
 Bao nhiêu năm con ở xa 
 Bao nhiêu xuân con chưa về nhà 
 Đón cái tết đón giao thừa 
 Bên mâm dưa bên bàn bánh mứt 
 Em thơ trông ai cũng trông 
 Nghe râm ran hát ca ngoài đồng 
 Tía hỏi má hổng biết tết này 
 Thằng Hai phương xa 
 Nó có dìa kịp không 
 Rộn vang chào tết tết tết tết tết 
 Đã đến đây rồi tết tết tết tết 
 Đến muôn nhà tết tết tết tết tết 
 Cánh mai vàng ươm 
 Như khoe sắc hương 
 Ngọc ngà ngọc tết tết tết tết tết 
 Đi chúc ông bà tết tết tết tết 
 Nhấp ly trà tết tết tết tết tết tết 
 Tết này vui quá con sẽ trở về 
 Năm nay con sẽ về 
 Nơi con quên hết những bộn bề 
 Sắm chiếc áo sắm đôi giày 
 Và dăm điều hay làm quà cho sau 
 Mua thêm trầu thêm bánh mứt 
 Để giúp mẹ cha lúc con xa nhà 
 Ấm áp quá hai tiếng gia đình 
 Cùng quây quần vui 
 Đón chào năm mới 
 Rộn vang chào tết tết tết tết tết 
 Đã đến đây rồi tết tết tết tết 
 Đến muôn nhà tết tết tết tết tết 
 Cánh mai vàng ươm 
 Như khoe sắc hương 
 Ngọc ngà ngọc tết tết tết tết tết 
 Đi chúc ông bà tết tết tết tết 
 Nhấp ly trà tết tết tết tết tết tết 
 Tết này vui quá con sẽ trở về 
 Tết tết tết tết 
 Tết đến rồi tết ơi 
 Tết tết tết tết 
 Tết vui quá tết ơi 
 Tết tết tết tết 
 Tết đến rồi tết ơi 
 Tết tết tết tết 
 Tết vui quá"
11211,Viết Thư Tình,Quang Lập,134250.0,"Việt Nam, Nhạc Trữ Tình","Một nửa ba năm 
 Anh yêu tình áo giầy quân nhân 
 đường xuôi quân ghé lại đôi lần 
 Bao nhiêu âu lo 
 Có hôm đã hỏi 
 Người yêu bé bỏng hay mơ 
 Anh vắng nhà hoài em có nhớ 
 Trả lời anh yêu 
 Không gian còn bước thời gian đi 
 Một ngàn đêm nhớ nhiều mơ nhiều 
 Mưa khuya giăng tơ 
 Gió khuya hững hờ 
 đèn hiu hắt ngọn tương tư 
 đôi lúc buồn vì anh vắng nhà 
 Tình nước lòng trai 
 Anh hiên ngang đối diện mặt trời 
 Chân qua chốn nào 
 Thương chất lên cao 
 Đã yêu lính trẻ 
 Ngày về ai tiếc gì 
 Từ bàn tay tiên 
 Nắn nót từng nét gửi cho anh 
 để anh vui bước đường quân hành 
 Môi em đang xinh 
 Mắt em vẫn tình 
 Màu xanh vẽ nổi đôi tim 
 Ghi dấu ngày đầu ta biết mình 
 Tình nước lòng trai 
 Anh hiên ngang đối diện mặt trời 
 Chân qua chốn nào 
 Thương chất lên cao 
 Đã yêu lính trẻ 
 Ngày về ai tiếc gì 
 Từ bàn tay tiên 
 Nắn nót từng nét gửi cho anh 
 để anh vui bước đường quân hành 
 Môi em đang xinh 
 Mắt em vẫn tình 
 Màu xanh vẽ nổi đôi tim 
 Ghi dấu ngày đầu ta biết mình"
11212,Vui Lắm Nha,Hương Ly ft Jombie,134251.0,"Việt Nam, V-Pop","Tôi mách ba ba mắng anh giờ 
 Tới tối thức giấc lóng ngóng chờ ai 
 Mong một mai anh tới 
 Mang theo điệu hò đưa dâu 
 Mai đây ta về chung nhà 
 Em sẽ lo trồng rau 
 Nấu những bát cơm chiều 
 Chờ anh thế thôi 
 Trên dưới vui mừng 
 Ngày mình cùng chung đôi 
 Là ngày 25 ta uống rượu giao bôi 
 Mình ở bên nhau 
 Cuộc đời vui lắm nha 
 Cột dây tơ duyên 
 Hai đứa thương tới già 
 Anh nói mai này 
 Em sẽ no ấm cùng anh 
 Hỡi khoan hò khoan 
 Em nguyện yêu thật lòng 
 Mình ở bên nhau 
 Đời lại vui biết bao 
 Cột dây tơ duyên 
 Hai đứa thương quá trời 
 Em đã đem lòng 
 Yêu lấy anh hỡi chàng ơi 
 Lỡ mai về xa anh 
 Chờ em theo với 
 Đón em về làng 
 Đám cưới như ngày hội 
 Bò dê heo quay gà dặm hỏi 
 Năm trăm mâm bàn đầy mồi 
 Đồ ăn vừa nóng vừa thổi 
 Xe chở cả hàng đoàn 
 Theo anh về 
 Em sẽ không còn cực khổ 
 Nói là làm 
 Do cái tính anh đàng hoàng 
 Pháo hoa bấm nút là nổ 
 Vòng kiềng vàng bạc nặng cổ 
 Người chúc đến hàng ngàn 
 Cúi đầu ba lạy 
 Quỳ trước bàn thờ tổ 
 Cho em làm bà hoàng 
 Xe nào em thích đỗ đâu thì đỗ 
 Em hỏa anh thì thổ 
 Nhà là phải có ruby bì hổ 
 Nhớ đã hứa sẽ cưới rồi nha 
 Hết năm nay mà không thấy 
 Là tôi mách ba ba mắng anh giờ 
 Tới tối thức giấc lóng ngóng chờ ai 
 Mong một mai anh tới 
 Mang theo điệu hò đưa dâu 
 Mai đây ta về chung nhà 
 Em sẽ lo trồng rau 
 Nấu những bát cơm chiều 
 Chờ anh thế thôi 
 Trên dưới vui mừng 
 Ngày mình cùng chung đôi 
 Là ngày 25 ta uống rượu giao bôi 
 Mình ở bên nhau 
 Cuộc đời vui lắm nha 
 Cột dây tơ duyên 
 Hai đứa thương tới già 
 Anh nói mai này 
 Em sẽ no ấm cùng anh 
 Hỡi khoan hò khoan 
 Em nguyện yêu thật lòng 
 Mình ở bên nhau 
 Đời lại vui biết bao 
 Cột dây tơ duyên 
 Hai đứa thương quá trời 
 Em đã đem lòng 
 Yêu lấy anh hỡi chàng ơi 
 Lỡ mai về xa 
 Anh chờ em theo với 
 Hai đứa phu thê 
 Tát cạn khô nước biển đông dạt dào 
 Ra thăm ruộng đồng 
 Ruộng bao la lúa thơm 
 Là em thương bấy nhiêu anh hỡi 
 Mình ở bên nhau 
 Cuộc đời vui lắm nha 
 Cột dây tơ duyên 
 Hai đứa thương tới già 
 Anh nói mai này 
 Em sẽ no ấm cùng anh 
 Hỡi khoan hò khoan 
 Em nguyện yêu thật lòng 
 Mình ở bên nhau 
 Đời lại vui biết bao 
 Cột dây tơ duyên 
 Hai đứa thương quá trời 
 Em đã đem lòng 
 Yêu lấy anh hỡi chàng ơi 
 Lỡ mai về xa anh 
 Chờ em theo với"
11213,VÌ ĐÂU ANH ĐI,KIM CƯƠNG,134252.0,Nhạc Phim,
11214,Xa Người Mình Yêu,Quang Lập,134256.0,"Việt Nam, Nhạc Trữ Tình","Chiều nay vắng bóng em rồi 
 Còn đâu mong đợi 
 Hỡi người tôi yêu 
 Chữ nghèo sao ác nghiệt thay 
 Làm cho hai đứa 
 Cách hai phương trời 
 Chiều nay vắng em 
 Lòng anh thấy buồn 
 Nhớ gì cho bằng 
 Anh nhớ người yêu 
 Người yêu tôi vẫn mong chờ 
 Trọn đời trọn kiếp yêu nhau 
 Xin em hãy nhớ đừng quên 
 Đường đông phố vui 
 Lòng sao vẫn buồn 
 Đếm thời gian bằng 
 Khói thuốc vàng tay 
 Tìm đâu môi mắt một người 
 Ngày nào mình bước chung đôi 
 Giờ này mình anh bước lẻ loi 
 Em ơi 
 Nhiều đêm anh nhớ về em 
 Làm sao anh ngủ được yên 
 ước chi mình không ngăn cách 
 Em ơi 
 Anh nghèo hai bàn tay trắng 
 Anh biết đời còn nhiều cay đắng 
 Anh làm sao đẹp lòng em yêu 
 Mình không thấy nhau 
 Lòng như héo gầy 
 Nếu mà sao này 
 Không cưới được em 
 Thì anh xin hứa câu này 
 Dù rằng mình cách xa nhau 
 Mà lòng mình không thiếu tình yêu 
 Em ơi 
 Nhiều đêm anh nhớ về em 
 Làm sao anh ngủ được yên 
 ước chi mình không ngăn cách 
 Em ơi 
 Anh nghèo hai bàn tay trắng 
 Anh biết đời còn nhiều cay đắng 
 Anh làm sao đẹp lòng em yêu 
 Mình không thấy nhau 
 Lòng như héo gầy 
 Nếu mà sao này 
 Không cưới được em 
 Thì anh xin hứa câu này 
 Dù rằng mình cách xa nhau 
 Mà lòng mình không thiếu tình yêu 
 Thì anh xin hứa câu này 
 Dù rằng mình cách xa nhau 
 Mà lòng mình không thiếu tình yêu"
11215,Xua Đi Huyền Thoại,Quang Lập,134257.0,"Việt Nam, Nhạc Trữ Tình","Thôi em hãy về đi, 
 Chuyện tình đôi ta, 
 Xin đưa vào huyền thoại, 
 Lời hứa năm xưa 
 Tôi ấp ủ trong lòng. 
 Em bây giờ 
 Vui khoác áo vu qui 
 Lên xe hoa cùng người, 
 Bỏ lại sau lưng 
 Bao tháng ngày êm đềm... 
 Em ơi... 
 Quán vắng đêm nay 
 Tay nâng ly rượu, 
 Điếu thuốc đắng trên môi 
 Anh say men rượu, 
 Em say men tình. 
 Đêm nay 
 Ta uống cho say, 
 Quên đi chuyện tình 
 Mà ta trót trao nhau, 
 Men say rượu cạn 
 Mà tình vẫn chưa quên... 
 Thôi em hãy về đi 
 Còn gì cho nhau 
 Tôi ôm trọn vào lòng 
 Huyền thoại mơ hoang, 
 Khi thức tỉnh ngỡ... ngàng. 
 Nghe trong lòng 
 Sao vẫn thấy nao nao 
 Mong xua đi huyền thoại 
 Đừng gặp gỡ nhau chi 
 Chua xót tình lỡ làng... 
 Em ơi... 
 Quán vắng đêm nay 
 Tay nâng ly rượu, 
 Điếu thuốc đắng trên môi 
 Anh say men rượu, 
 Em say men tình. 
 Đêm nay 
 Ta uống cho say, 
 Quên đi chuyện tình 
 Mà ta trót trao nhau, 
 Men say rượu cạn 
 Mà tình vẫn chưa quên... 
 Thôi em hãy về đi 
 Còn gì cho nhau 
 Tôi ôm trọn vào lòng 
 Huyền thoại mơ hoang, 
 Khi thức tỉnh ngỡ... ngàng. 
 Nghe trong lòng 
 Sao vẫn thấy nao nao 
 Mong xua đi huyền thoại 
 Đừng gặp gỡ nhau chi 
 Chua xót tình lỡ làng... 
 Mong xua đi huyền thoại 
 Đừng gặp gỡ nhau chi 
 Chua xót tình lỡ làng... 
 Mong xua đi huyền thoại 
 Đừng gặp gỡ nhau chi 
 Chua xót tình lỡ làng..."
11216,XUÂN MÃI MUÔN ĐỜI,Kim Ny Ngoc,134258.0,,
11217,Xuân Về Khắp Nơi,Gin Tuấn Kiệt ft Han Sara,134259.0,"Việt Nam, V-Pop","Chút nắng ấm 
 Cho cành mai nở vàng 
 Chút gió mát 
 Cho mùa Xuân nhẹ về 
 Chút lấp lánh 
 Trong nụ cười em thơ 
 Mừng một mùa xuân 
 Mới đến 
 Có cánh én 
 Phương trời xa tìm về 
 Có tiếng hát 
 Trong lòng nghe rộn ràng 
 Có ấm áp 
 Cho người già thêm vui 
 Nghe xuân về khắp nơi 
 Rộn ràng ngày 30 
 Quây quần cùng nhau 
 Bên bếp bánh chưng 
 Mừng một mùa xuân mới 
 Muôn vàn lời chúc 
 Cho nhau bình yên 
 Mẹ mừng người con xa 
 Quay về mái ấm 
 Như lúc trẻ thơ 
 Lòng bồi hồi nôn nao 
 Thắp hương cầu chúc 
 Trong đêm giao thừa 
 Gió cũng đã 
 Mang mùi hương nồng nàn 
 Nắng cũng đã 
 ươm vàng mai, hồng đào 
 Cất tiếng hát 
 Cho ngày xuân thêm vui 
 Xuân đang về khắp nơi 
 Chút nắng ấm 
 Cho cành mai nở vàng 
 Chút gió mát 
 Cho mùa Xuân nhẹ về 
 Chút lấp lánh 
 Trong nụ cười em thơ 
 Mừng một mùa xuân 
 Mới đến 
 Có cánh én 
 Phương trời xa tìm về 
 Có tiếng hát 
 Trong lòng nghe rộn ràng 
 Có ấm áp 
 Cho người già thêm vui 
 Nghe xuân về khắp nơi 
 Rộn ràng ngày 30 
 Quây quần cùng nhau 
 Bên bếp bánh chưng 
 Mừng một mùa xuân mới 
 Muôn vàn lời chúc 
 Cho nhau bình yên 
 Mẹ mừng người con xa 
 Quay về mái ấm 
 Như lúc trẻ thơ 
 Lòng bồi hồi nôn nao 
 Thắp hương cầu chúc 
 Trong đêm giao thừa 
 Gió cũng đã 
 Mang mùi hương nồng nàn 
 Nắng cũng đã 
 ươm vàng mai, hồng đào 
 Cất tiếng hát 
 Cho ngày xuân thêm vui 
 Xuân đang về khắp nơi 
 Rộn ràng ngày 30 
 Quây quần cùng nhau 
 Bên bếp bánh chưng 
 Mừng một mùa xuân mới 
 Muôn vàn lời chúc 
 Cho nhau bình yên 
 Mẹ mừng người con xa 
 Quay về mái ấm 
 Như lúc trẻ thơ 
 Lòng bồi hồi nôn nao 
 Thắp hương cầu chúc 
 Trong đêm giao thừa"
11218,YÊU MÃI NGÀN NĂM REMIX,KIM NY NGỌC FT KHƯU HUY VŨ,134261.0,"Việt Nam, Dance Việt","Mình dìu nhau qua bao đường đời gian khó 
 Có anh và em 
 Rồi đông sẽ qua 
 Cho chúng ta thôi trong lạnh giá 
 Tình đôi ta 
 Nguyện sẽ mãi không bao giờ phai 
 Sợ lắm khi yêu ai, tim dại khờ 
 Sợ lắm tình chưa thấy đã vội bay 
 Tình anh đó luôn nồng cháy 
 Vẫn yêu em như ngày xưa 
 Người còn đây, đừng buồn thêm chi hỡi em 
 Sợ lắm câu mong chờ, tim hững hờ 
 Sợ lắm từng đêm tối ướt bờ mi 
 Tình anh đó, luôn bình yên 
 Vẫn trong tim không nhạt phai 
 Mặc thời gian 
 Anh vẫn yêu em mãi ngàn năm 
 Mặc thời gian 
 Em vẫn yêu anh mãi ngàn năm 
 Ngày mai chúng ta 
 Cùng sánh vai trên con đường dài 
 Mình dìu nhau qua bao đường đời gian khó 
 Có anh và em 
 Rồi đông sẽ qua 
 Cho chúng ta thôi trong lạnh giá 
 Tình đôi ta 
 Nguyện sẽ mãi không bao giờ phai 
 Đời có khi yên lành, khi cuồng phong 
 Nhiều lúc, trời đang nắng bỗng đổ mưa 
 Dù ngày nắng hay ngày mưa 
 Vẫn yêu em như ngày xưa 
 Dòng đời trôi 
 Em vẫn yêu anh mãi mà thôi 
 Ngày mai chúng ta 
 Cùng sánh vai trên con đường dài 
 Mình dìu nhau qua bao đường đời gian khó 
 Có anh và em 
 Rồi đông sẽ qua 
 Cho chúng ta thôi trong lạnh giá 
 Tình đôi ta 
 Nguyện sẽ mãi không bao giờ phai 
 Tình đôi ta 
 Nguyện sẽ mãi không bao giờ phai"
11219,Yêu Người Chung Vách,Quang Lập,134262.0,"Việt Nam, Cải Lương","Tình muốn ngỏ e lời em chối bỏ 
 Đành lặng câm đêm kề vách trông sang 
 Trời ngăn chia ôi vô tình vách gỗ 
 Người gần đây mà ngỡ mấy quang sang"" 
 Đêm này nhớ trộm thương thầm người ta 
 Nhà vách chung nhau nhưng vẫn xa lạ 
 Để từng đêm trắng trôi qua 
 Anh nhìn bóng mình trên vách 
 Nỗi cô đơn trăn trở trong lòng. 
 Bao lần muốn ngỏ đôi lời làm quen 
 Nhà vốn bên nhau em sợ ưu phiền 
 Nghĩ mình sao quá vô duyên 
 Yêu thầm chi người chung vách 
 Để đêm về giấc ngủ không yên. 
 Em ơi tình anh như bát nước đầy 
 Muốn ngỏ nỗi niềm riêng tư 
 Nhưng ngại lời em chối em từ. 
 Rồi đêm đầu tay vàng lên màu khói 
 Đốt buồn theo nỗi tương tư 
 Anh thấy đời anh quá bơ vơ. 
 Đêm này thức trọn canh dài buồn tênh 
 Trời cách ngăn chi vách gỗ vô tình 
 Giá nhà không vách chia ranh 
 Anh hầu em từng giấc ngủ 
 Cho thấy rằng anh quá yêu em! 
 Em ơi tình anh như bát nước đầy 
 Muốn ngỏ nỗi niềm riêng tư 
 Nhưng ngại lời em chối em từ. 
 Rồi đêm đầu tay vàng lên màu khói 
 Đốt buồn theo nỗi tương tư 
 Anh thấy đời anh quá bơ vơ. 
 Đêm này thức trọn canh dài buồn tênh 
 Trời cách ngăn chi vách gỗ vô tình 
 Giá nhà không vách chia ranh 
 Anh hầu em từng giấc ngủ 
 Cho thấy rằng anh quá yêu em 
 Giá nhà không vách chia ranh 
 Anh hầu em từng giấc ngủ 
 Cho thấy rằng anh quá yêu em"
11220,Áo Cũ Tình Em (Tone Nam),Thương Võ,134263.0,,
11221,ĐỢI MỘT LỜI CHIA TAY,Trịnh Thiên Ân ft Lê Hữu Minh,134264.0,"Việt Nam, V-Pop","Sẽ yêu dẫu cho thanh xuân tàn phai chẳng rời 
 Vào mùa thứ năm sẽ không lỡ hẹn 
 Một lọ thủy tinh với bao ước nguyện 
 Gửi trao trái tim dẫu xa biển khơi 
 Hẹn nhau mãi yêu đến khi giấc mơ sẽ thành 
 Vậy mà ra đi chẳng lời chia ly 
 Em bay xa nơi phương trời 
 Hạ ghé đến chiếc lá rơi 
 Để nỗi nhớ mình tôi mang 
 Vẫn lặng thầm chiều lang thang 
 Chiều cô đơn tìm về ký ức ngày còn bên nhau 
 Nhặt chiếc lá lệ tràn hoen mi 
 Em mang lời yêu theo gió cuốn đi 
 Em vô tư nơi chân trời 
 Mặc sóng gió nơi tim tôi 
 Để yêu thương vào lãng quên 
 Dẫu lòng này hoài vương vấn 
 Thời gian trôi để ngày hôm nay 
 Tình đành trao tay 
 Tình mới đến lòng nào đâu hay 
 Nhưng em ở đâu đã mãi cách xa 
 Một lọ thủy tinh với bao ước nguyện 
 Gửi trao trái tim dẫu xa biển khơi 
 Hẹn nhau mãi yêu đến khi giấc mơ sẽ thành 
 Vậy mà ra đi chẳng lời chia ly 
 Em bay xa nơi phương trời 
 Hạ ghé đến chiếc lá rơi 
 Để nỗi nhớ mình tôi mang 
 Vẫn lặng thầm chiều lang thang 
 Chiều cô đơn tìm về ký ức ngày còn bên nhau 
 Nhặt chiếc lá lệ tràn hoen mi 
 Em mang lời yêu theo gió cuốn đi 
 Em vô tư nơi chân trời 
 Mặc sóng gió nơi tim tôi 
 Để yêu thương vào lãng quên 
 Dẫu lòng này hoài vương vấn 
 Thời gian trôi để ngày hôm nay 
 Tình đành trao tay 
 Tình mới đến lòng nào đâu hay 
 Nhưng em ở đâu đã mãi cách xa 
 Em bay xa nơi phương trời 
 Hạ ghé đến chiếc lá rơi 
 Để nỗi nhớ mình tôi mang 
 Vẫn lặng thầm chiều lang thang 
 Chiều cô đơn tìm về ký ức ngày còn bên nhau 
 Nhặt chiếc lá lệ tràn hoen mi 
 Em mang lời yêu theo gió cuốn đi 
 Em vô tư nơi chân trời 
 Mặc sóng gió nơi tim tôi 
 Để yêu thương vào lãng quên 
 Dẫu lòng này hoài vương vấn 
 Thời gian trôi để ngày hôm nay 
 Tình đành trao tay 
 Tình mới đến lòng nào đâu hay 
 Nhưng em ở đâu đã mãi cách xa"
11222,11 THÁNG 5 NGÀY (Tone Nam),Nguyễn Đặng Châu Anh,134265.0,,
11223,11 Tháng 5 Ngày Nguyễn Đặng Châu Anh,Karaoke,134266.0,"Việt Nam, V-Pop",
