,Unnamed: 0,title,singer,id,Genre,Lyric
878,878,Chuyện Hợp Tan,Ngọc Hải,,"Việt Nam, Nhạc Trữ Tình","Đêm nay lặng lẽ 
 Sương mù về giăng trên mảnh tình quê 
 Có ai để buồn chất chứa sơn khê 
 Có nhịp đàn lưu luyến con đường đê 
 Em ơi có hay 
 Khi nước mắt bây giờ đang rớt mau 
 Khi tiếng hát hôm nào thôi vút cao 
 Lòng bỗng thấy 
 Vương nặng bao nỗi sầu 
 Mai tôi rời bước 
 Quê nhà hành trang 
 Mang nặng niềm thương 
 Nhớ khi mình cùng 
 Thức trắng đêm sương 
 Nhớ điệu hò 
 Tha thiết bao sầu thương 
 Mai xa cách nhau 
 Thương những lúc 
 Đôi mình chia nỗi đau 
 Thương biết mấy ân tình ta đã trao 
 Cùng ước muốn 
 Cơn mộng thôi dãi dầu 
 Vì đời còn những 
 Nhánh sông xa dần thác buồn 
 Vì đời còn những 
 Bước chân miệt mài ngỏ hoang 
 Để rồi mình ta 
 Âm thầm từng chiều vắng 
 Nghe tim mãi mơ màng 
 Chuyện hợp tan 
 Mai chia ngàn lối 
 Biết đời còn cho ta được ngày vui 
 Ước mơ lần về xóa nỗi đơn côi 
 Chúng mình lại thao thức 
 Bao buồn vui 
 Đêm nay tiễn đưa 
 Giây phút cuối vẫn còn tay ấm tay 
 Mai sẽ thấm cơn lạnh khi gió lay 
 Và những lúc mưa gọi thương nhớ đầy 
 Mai tôi rời bước 
 Quê nhà hành trang 
 Mang nặng niềm thương 
 Nhớ khi mình cùng 
 Thức trắng đêm sương 
 Nhớ điệu hò 
 Tha thiết bao sầu thương 
 Mai xa cách nhau 
 Thương những lúc 
 Đôi mình chia nỗi đau 
 Thương biết mấy ân tình ta đã trao 
 Cùng ước muốn 
 Cơn mộng thôi dãi dầu 
 Vì đời còn những 
 Nhánh sông xa dần thác buồn 
 Vì đời còn những 
 Bước chân miệt mài ngỏ hoang 
 Để rồi mình ta 
 Âm thầm từng chiều vắng 
 Nghe tim mãi mơ màng 
 Chuyện hợp tan 
 Mai chia ngàn lối 
 Biết đời còn cho ta được ngày vui 
 Ước mơ lần về xóa nỗi đơn côi 
 Chúng mình lại thao thức 
 Bao buồn vui 
 Đêm nay tiễn đưa 
 Giây phút cuối vẫn còn tay ấm tay 
 Mai sẽ thấm cơn lạnh khi gió lay 
 Và những lúc mưa gọi thương nhớ đầy 
 Đêm nay tiễn đưa 
 Giây phút cuối vẫn còn tay ấm tay 
 Mai sẽ thấm cơn lạnh khi gió lay 
 Và những lúc mưa gọi 
 Thương nhớ đầy"
879,879,Chuyện Kể Riêng Tôi Một Mình,Cris Nguyen & Hiếu Viper,,"Việt Nam, Rap Việt","Sớm nay tôi thức dậy, 
 Lắng nghe từ bảng tin 
 Rồi đến giấc trưa 
 Phóng chiếc xe trắng tinh lướt qua 
 Tối tan ca về nhà, vội vã chờ ai gọi sớm 
 Sha la la la, sha la la la... 
 Chuyện kể riêng tôi một mình 
 Ê..chuyện này tôi chỉ kể có một mình các bạn nghe thôi 
 Và không kể ai khác ngoài các bạn nghe đâu ó 
 Các bạn nhớ đó [Các bạn nhớ đó] 
 Các bạn nghe thôi nha 
 Hiếu Viper, Victory Cris Nguyễn 
 In a new song for free, ready! 
 Có anh chàng ngơ, ở trong hẽm số 
 [Rất đẹp trai, đáng yêu, dễ thương 
 Và cũng rất là chung tình nhưng chàng ấy là forever alone] 
 Có cô nàng xinh, ở trong nhà lầu 
 [Người gì đâu mà đáng yêu muốn chết luôn, 
 Nhìn một phác là yêu ngay là la la la...] 
 Nhớ xưa ta hẹn hò, chở em đi dạo quanh 
 Ngồi ôm phía sau, nhắm mắt bậc máy radio 
 Tối mơ màng mong chờ, gửi em tình yêu màu nắng 
 Sha la la la, sha la la la... 
 Chuyện kể riêng tôi một mình 
 Giá có ai chuyện trò khi mỗi đêm về 
 Tưạ đầu vào vai 
 Anh luôn muốn chúng ta 
 Mãi được gần bên nhau như là gió 
 Theo làn mây bay về đây cùng bên nhau 
 Cùng nắm tay và nguyện ước, anh ước 
 Có một ngày được nắm đôi bàn tay em 
 Đi qua hết quãng đời này anh không sợ mưa đâu 
 Anh chỉ sợ gió thôi, vì gió 
 Có thể cuốn em đi mất và chắc lúc đó 
 Anh chết ngất, mất 
 Phía bên ngoại ô, có căn nhà tranh 
 [Chính là nơi thiên đường mà chúng ta 
 đã cùng nguyện ước không bao giờ 
 Rời xa nhau em có biết không] 
 Em pha trà xanh, anh gãy đàn nhanh 
 [Anh mặc cho thời gian dần trôi nhanh 
 Cũng không thể làm cho tình yêu anh 
 Dành cho em phai phôi nhanh oh] 
 Nắng chiếu qua ô cửa, lấy yêu thương gần hơn 
 Ngoài phố xá đông có thiếu nữ đáng yêu lặng nhanh 
 Uống thêm cốc chà là, chờ em cà phê một sớm 
 Sha la la la, sha la la la... 
 Chuyện kể riêng tôi một mình 
 Đông đến xuân đi lại về 
 Phía nhà không nắng...ăng...ắng 
 [Nhớ là không có nắng à nha] 
 Giá như ai kề bên 
 Giá như ai hiểu tôi 
 Trời tối rét câm 
 Giá có người nắm tay vi vu 
 Giá có ai thật lòng rày la mỗi khi giận dỗi 
 Sha la la la, sha la la la... 
 Chuyện kể riêng tôi một mình 
 Giá có ai chuyện trò khi mỗi đêm về 
 Tựa đầu vào vai 
 Chuyện kể riêng tôi một mình"
880,880,Chuyện Mưa Mây,Hồng Trúc & Trường Vũ,,"Việt Nam, Nhạc Trữ Tình","Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên"
881,881,Chuyện Mưa Mây,Quang Lập,,"Việt Nam, Nhạc Trữ Tình","Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên"
882,882,Chuyện Mưa Mây,Trường Vũ,,"Việt Nam, Nhạc Trữ Tình","Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Giữa lòng phố gầy 
 Trời đổ mưa mây 
 Xui cho anh nhớ chuyện mình 
 Ngày đó quen nhau 
 Khi mưa mây kín đường dài 
 Ân tình trót vay 
 Thương đôi môi cười ngát say 
 Thương thật quá thương 
 Ngày đó thơ ngây 
 Trông mưa mây từng ngày 
 Để đứng bên nhau 
 Nghe yêu thương rót vào lòng 
 Mưa chợt dứt mau 
 Nên chia tay còn luyến lưu 
 Rồi tuổi đời thêm cao 
 Trên quê hương khói lửa ngút trời 
 Ngày anh ra đi 
 Trong suối nước mắt em 
 Thầm nhớ tới kỷ niệm 
 Ngày đó chúng mình 
 Còn mơ ước nhiều 
 Xa rồi đó em 
 Người đã ra đi hơi đâu 
 Trông ngóng đợi chờ 
 Tình đó xem như cơn mưa mây 
 Đến tình cờ 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên 
 Thôi hãy cố quên 
 Em ơi em hãy cố quên"
883,883,Chuyện Một Dòng Sông,Quang Hào,,"Việt Nam, Nhạc Trữ Tình","Nhiều đêm nằm mơ 
 Thấy mình đẹp mối duyên thơ 
 Thuyền hoa đã neo bến mong chờ 
 Đôi ta sánh vai bước chung đường 
 Họ hàng mừng vui 
 Chúc cho đôi mình, trăm năm hạnh phúc 
 Rồi mình sẽ đến nơi ngày xưa 
 Hai đứa hẹn hò 
 Dựng căn nhà tranh 
 Đêm đêm mình cùng ngắm trăng thanh 
 Nghe làn gió mát trong lành 
 Bên em có anh ru giấc mộng 
 Trọn niềm chờ mong 
 Sắt son mặn nồng tình mãi tươi hồng 
 Anh ơi có thương hãy đợi chờ nhau 
 Như cau quấn quýt bên trầu 
 Cho đôi mình đẹp duyên giai ngẫu 
 Em ơi, nếu yêu không phải chờ lâu 
 Sông sâu bắc đôi nhịp cầu 
 Se kết tình mình không ngăn thác 
 Mai đây, anh là chú rể hiền lương 
 Thương em cô gái dịu dàng 
 Càng thương nhiều 
 Anh thương em rất nhiều 
 Ngày lành năm tới 
 Anh về lo tính chuyện cau trầu 
 Cầu mong mẹ cha 
 Thuận lòng chuyện cưới đôi ta 
 Đường hoa rước cô dâu về nhà 
 Làng quê có em thêm đậm đà 
 Này người tình ơi có nhau trong đời 
 Mình mãi không rời 
 Chung một dòng sông 
 Anh và em đã thương nhau thật lòng 
 Nhiều đêm nằm mơ 
 Thấy mình đẹp mối duyên thơ 
 Thuyền hoa đã neo bến mong chờ 
 Đôi ta sánh vai bước chung đường 
 Họ hàng mừng vui 
 Chúc cho đôi mình, trăm năm hạnh phúc 
 Rồi mình sẽ đến nơi ngày xưa 
 Hai đứa hẹn hò 
 Dựng căn nhà tranh 
 Đêm đêm mình cùng ngắm trăng thanh 
 Nghe làn gió mát trong lành 
 Bên em có anh ru giấc mộng 
 Trọn niềm chờ mong 
 Sắt son mặn nồng tình mãi tươi hồng 
 Anh ơi có thương hãy đợi chờ nhau 
 Như cau quấn quýt bên trầu 
 Cho đôi mình đẹp duyên giai ngẫu 
 Em ơi, nếu yêu không phải chờ lâu 
 Sông sâu bắc đôi nhịp cầu 
 Se kết tình mình không ngăn thác 
 Mai đây, anh là chú rể hiền lương 
 Thương em cô gái dịu dàng 
 Càng thương nhiều 
 Anh thương em rất nhiều 
 Ngày lành năm tới 
 Anh về lo tính chuyện cau trầu 
 Cầu mong mẹ cha 
 Thuận lòng chuyện cưới đôi ta 
 Đường hoa rước cô dâu về nhà 
 Làng quê có em thêm đậm đà 
 Này người tình ơi có nhau trong đời 
 Mình mãi không rời 
 Đường hoa rước cô dâu về nhà 
 Làng quê có em thêm đậm đà 
 Này người tình ơi có nhau trong đời 
 Mình mãi không rời"
884,884,Chuyện Một Người Ra Đi,Trung Quân Idol,,Việt Nam,"Cuộc tình ta 
 Như là một giấc mơ 
 Vừa mới đến 
 Bỗng nay đã vội tàn 
 Người ra đi 
 Chẳng nói với anh một lời 
 để lòng anh 
 Nơi đây nhớ người 
 Giờ thôi hết 
 Ta đã xa lìa nhau 
 Ngày hôm qua 
 Ta còn vui với nhau 
 Mà hôm nay 
 Giấc mơ đã vụt bay 
 Vì sao em đành tâm 
 Dối gian anh nhiều 
 Để con tim 
 Mang bao nỗi đau 
 Khóc cho mối tình đôi ta 
 Giờ phôi pha 
 Em ơi có hay 
 Người có biết 
 Hay chăng em yêu hỡi 
 Trái tim anh đang say đắm 
 Sao nay em cất bước 
 Theo người ta 
 Để con tim anh 
 Đêm ngày nhói đau 
 Cay đắng trong lòng 
 Vì sao em 
 Bỏ anh đi thật xa 
 Người nay đã 
 Quên đi bao ân ái 
 Dấu yêu xưa nay tan biến 
 Em ra đi 
 Không nói câu biệt ly 
 Từng lời yêu 
 Khi xưa giờ đã xa 
 Khi giâc mơ qua 
 Người oi có hay chăng 
 Anh mãi yêu trong nỗi cô đơn 
 Ngày hôm qua 
 Ta còn vui với nhau 
 Mà hôm nay 
 Giấc mơ đã vụt bay 
 Vì sao em đành tâm 
 Dối gian anh nhiều 
 Để con tim 
 Mang bao nỗi đau 
 Khóc cho mối tình đôi ta 
 Giờ phôi pha 
 Em ơi có hay 
 Người có biết 
 Hay chăng em yêu hỡi 
 Trái tim anh đang say đắm 
 Sao nay em cất bước 
 Theo người ta 
 Để con tim anh 
 Đêm ngày nhói đau 
 Cay đắng trong lòng 
 Vì sao em 
 Bỏ anh đi thật xa 
 Người nay đã 
 Quên đi bao ân ái 
 Dấu yêu xưa nay tan biến 
 Em ra đi 
 Không nói câu biệt ly 
 Từng lời yêu 
 Khi xưa giờ đã xa 
 Khi giâc mơ qua 
 Người oi có hay chăng 
 Anh mãi yêu trong nỗi cô đơn 
 Người nay đã 
 Quên đi bao ân ái 
 Dấu yêu xưa nay tan biến 
 Em ra đi 
 Không nói câu biệt ly 
 Từng lời yêu 
 Khi xưa giờ đã xa 
 Khi giâc mơ qua 
 Người oi có hay chăng 
 Anh mãi yêu trong nỗi cô đơn 
 Từng lời yêu 
 Khi xưa giờ đã xa 
 Khi giâc mơ qua 
 Người oi có hay chăng 
 Anh mãi yêu trong nỗi cô đơn"
885,885,Chuyện Người Lên Xe Hoa,Phi Nhung & Trường Vũ,,,
886,886,Chuyện Người Đàn Bà,Vũ Khanh,,"Việt Nam, Nhạc Trữ Tình","Chuyện người đàn bà 
 Hai ngàn năm trước 
 Áo rách tả tơi xác thân mệt nhoài 
 Chuyện người đàn bà nơi thành cổ đó 
 Dấu tích hằn thân 
 Vì đâu vì đâu vì đâu 
 Nên tội tình mang nhục hình 
 Vì yêu tội yêu tội tình yêu 
 Đoàn người cổ thành 
 Vây chặt khu phố 
 Thế giới hiền lương 
 Ánh mắt cuồng căm 
 Nhìn người đàn bà đang chực đợi chết 
 Đống đá ngổn ngang chờ ai 
 Chờ tay người ném chết một người 
 Không hận thù 
 Người ơi vì đâu đọa đầy nhau 
 Ai người vô tội ai người không tội 
 Hãy mạnh tay ném đá ném đá 
 Ném trước đi còn đợi gì 
 Ai người vẹn toàn ai người trong sạch 
 Còn chờ chi ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 Hai ngàn năm trước 
 Sách cổ đã ghi đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới giả nhân chào thua 
 Người ơi tình ơi 
 Ai tội đồ ai tỉnh ngộ 
 Người ơi đời ơi cũng vậy thôi 
 Ai người vô tội ai người không tội 
 Hãy mạnh tay ném đá ném đá 
 Ném trước đi còn đợi gì 
 Ai người vẹn toàn ai người trong sạch 
 Còn chờ chi ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 Hai ngàn năm trước 
 Sách cổ đã ghi đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới giả nhân chào thua 
 Người ơi tình ơi 
 Ai tội đồ ai tỉnh ngộ 
 Người ơi đời ơi cũng vậy thôi 
 Người ơi đời ơi cũng vậy thôi"
887,887,Chuyện Người Đàn Bà 2000 Năm Trước,Thế Sơn,,"Việt Nam, Nhạc Tôn Giáo","Chuyện người đàn bà 
 2000 năm trước 
 Áo rách tả tơi 
 Xác thân mệt nhoài 
 Chuyện người đàn bà 
 Nơi thành phố đó 
 Dấu tích hành thân 
 Vì đâu? Vì đâu? Vì đâu 
 Nên tội tình mang nhục hình 
 Vì yêu, tội yêu, tội tình yêu 
 Đoàn người cổ thành 
 Vây chặt khu phố 
 Thế giới hiền lương 
 Ánh mắt cuồng căm 
 Nhìn người đàn bà 
 Đang chịu tội chết 
 Đống đá ngổn ngang 
 Chờ ai? 
 Chờ tay người ném chết 
 Một người không hận thù 
 Người ơi vì đâu đoạ đầy nhau 
 Ai, ai người vô tội 
 Ai, ai người không tội 
 Hãy mạnh tay ném đá 
 Ném đá ném trước đi 
 Còn, còn đợi gì? 
 Ai, người vẹn toàn 
 Ai người trong sạch 
 Còn chờ chi? 
 Ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 2000 năm trước 
 Sách cổ đã nghi 
 Đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới gia nhân chào thua 
 Người ơi, tình ơi 
 Ai tội đồ, ai tỉnh ngộ 
 Người ơi, đời ơi, cũng vậy thôi 
 Đoàn người cổ thành 
 Vây chặt khu phố 
 Thế giới hiền lương 
 Ánh mắt cuồng căm 
 Nhìn người đàn bà 
 Đang chịu tội chết 
 Đống đá ngổn ngang 
 Chờ ai? 
 Chờ tay người ném chết 
 Một người không hận thù 
 Người ơi vì đâu đoạ đầy nhau 
 Ai, ai người vô tội 
 Ai, ai người không tội 
 Hãy mạnh tay ném đá 
 Ném đá ném trước đi 
 Còn, còn đợi gì? 
 Ai, người vẹn toàn 
 Ai người trong sạch 
 Còn chờ chi? 
 Ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 2000 năm trước 
 Sách cổ đã nghi 
 Đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới gia nhân chào thua 
 Người ơi, tình ơi 
 Ai tội đồ, ai tỉnh ngộ 
 Người ơi, đời ơi, cũng vậy thôi"
888,888,Chuyện Người Đàn Bà Hai Ngàn Năm Trước,Vũ Khanh,,"Việt Nam, Nhạc Trữ Tình","Chuyện người đàn bà 
 Hai ngàn năm trước 
 Áo rách tả tơi xác thân mệt nhoài 
 Chuyện người đàn bà nơi thành cổ đó 
 Dấu tích hằn thân 
 Vì đâu vì đâu vì đâu 
 Nên tội tình mang nhục hình 
 Vì yêu tội yêu tội tình yêu 
 Đoàn người cổ thành 
 Vây chặt khu phố 
 Thế giới hiền lương 
 Ánh mắt cuồng căm 
 Nhìn người đàn bà đang chực đợi chết 
 Đống đá ngổn ngang chờ ai 
 Chờ tay người ném chết một người 
 Không hận thù 
 Người ơi vì đâu đọa đầy nhau 
 Ai người vô tội ai người không tội 
 Hãy mạnh tay ném đá ném đá 
 Ném trước đi còn đợi gì 
 Ai người vẹn toàn ai người trong sạch 
 Còn chờ chi ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 Hai ngàn năm trước 
 Sách cổ đã ghi đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới giả nhân chào thua 
 Người ơi tình ơi 
 Ai tội đồ ai tỉnh ngộ 
 Người ơi đời ơi cũng vậy thôi 
 Ai người vô tội ai người không tội 
 Hãy mạnh tay ném đá ném đá 
 Ném trước đi còn đợi gì 
 Ai người vẹn toàn ai người trong sạch 
 Còn chờ chi ném chết ném chết 
 Ném chết tội đồ nhân gian 
 Chuyện người đàn bà 
 Hai ngàn năm trước 
 Sách cổ đã ghi đống đá còn nguyên 
 Vì người vô tội hay đời giả dối 
 Thế giới giả nhân chào thua 
 Người ơi tình ơi 
 Ai tội đồ ai tỉnh ngộ 
 Người ơi đời ơi cũng vậy thôi 
 Người ơi đời ơi cũng vậy thôi"
889,889,Chuyện Như Chưa Bắt Đầu,Mỹ Tâm,,"Việt Nam, V-Pop","Mưa rơi trên nỗi đau nào 
 Lòng chợt thấy nghẹn ngào 
 Vì bao khát khao 
 Đợi chờ làm chi nỗi đau ai ngờ 
 Tình yêu đôi ta như là mơ 
 Bao yêu thương đã muộn màng 
 Vì mình quá vội vàng để lòng nát tan 
 Vậy mà giờ sao nói không nên lời 
 Lệ rơi trên đôi mắt anh 
 Từ trong con tim anh cứ nhớ em vô bờ 
 Tình yêu ấy 
 Cũng đã khiến anh mong chờ 
 Góc phố vắng em mình anh bơ vơ 
 Bao giấc mộng nay tan vỡ 
 Thì thôi xem như 
 Chuyện mình chưa bắt đầu 
 Để cho lòng này nhẹ vơi nỗi sầu 
 Như cành hoa đã thôi úa màu 
 Mà ta giữ lại cho nhau 
 Mưa rơi trên nỗi đau nào 
 Lòng chợt thấy nghẹn ngào 
 Vì bao khát khao 
 Đợi chờ làm chi nỗi đau ai ngờ 
 Tình yêu đôi ta như là mơ 
 Bao yêu thương đã muộn màng 
 Vì mình quá vội vàng để lòng nát tan 
 Vậy mà giờ sao nói không nên lời 
 Lệ rơi trên đôi mắt anh 
 Từ trong con tim anh cứ nhớ em vô bờ 
 Tình yêu ấy 
 Cũng đã khiến anh mong chờ 
 Góc phố vắng em mình anh bơ vơ 
 Bao giấc mộng nay tan vỡ 
 Thì thôi xem như 
 Chuyện mình chưa bắt đầu 
 Để cho lòng này nhẹ vơi nỗi sầu 
 Như cành hoa đã thôi úa màu 
 Mà ta giữ lại cho nhau 
 Anh xin yêu em trong cơn mơ 
 Người hãy đến dù là giấc mơ 
 Dẫu biết quá ngây thơ mà lòng vẫn nhớ 
 Từ trong con tim anh cứ nhớ em vô bờ 
 Tình yêu ấy 
 Cũng đã khiến anh mong chờ 
 Góc phố vắng em mình anh bơ vơ 
 Bao giấc mộng nay tan vỡ 
 Thì thôi xem như 
 Chuyện mình chưa bắt đầu 
 Để cho lòng này nhẹ vơi nỗi sầu 
 Như cành hoa đã thôi úa màu 
 Mà ta giữ lại cho nhau 
 Như cành hoa đã thôi úa màu 
 Mà ta giữ lại cho nhau"
890,890,Chuyện Nàng Hàng Xóm,Trường Vũ,,,
891,891,Chuyện Nàng Trinh Nữ Tên Thi (Remix),Hồ Quang Hiếu,,"Việt Nam, Dance Việt","Cuộc đời hồng nhan cay và đắng thôi thì lắm trái ngang 
 Bao nhiêu trai làng yêu nàng đi theo xin nàng tim vàng 
 Nàng vẫn không màng. 
 Nàng đã trót yêu yêu một chàng một chàng nghệ sĩ 
 Tình hỡi ơi tình chàng đã có đã có gia đình 
 Người đời cười chê cho tình đó như là gió với trăng 
 E sao duyên mình không thành như bao cô nàng thất tình 
 Nàng khóc một mình. 
 Thi ơi Thi ơi Thi, Thi có biết không Thi 
 Khi con tim yêu đương là sống với đau thương 
 Khi con tim yêu đương là chết với u sầu 
 Thì Thi đã biết cớ sao Thi buồn. 
 Nàng quyết ra đi xa làng mình người tình yêu dấu 
 Đời ngỡ chắc rằng nàng đã bước đã bước qua cầu 
 Mà nào ngờ đâu ôm tình ấy đi tìm dãy núi cao 
 Đi sâu vô rừng quên tình hay đi vô rừng trốn mình 
 Tình vẫn u sầu 
 Từ đó không ai ai còn gặp gặp nàng đâu nữa 
 Chỉ có con chim rừng nhiều khi thấy nàng khóc một mình 
 Rồi một mùa đông chim nhìn thấy thấy nàng dưới gốc cây 
 Tương tư nhân tình khôn lường đau thương u tình vô cùng 
 Nàng chết trong rừng 
 Thi ơi Thi ơi Thi, Thi có biết không Thi 
 Khi con tim yêu đương là sống với đau thương 
 Khi con tim yêu đương là chết với u sầu 
 Thì Thi đã biết cớ sao Thi buồn. 
 Thi ơi Thi ơi Thi, Thi có biết không Thi 
 Khi con tim yêu đương là sống với đau thương 
 Khi con tim yêu đương là chết với u sầu 
 Thì Thi đã biết cớ sao Thi buồn. 
 Thi ơi Thi ơi Thi, Thi có biết không Thi 
 Khi con tim yêu đương là sống với đau thương 
 Khi con tim yêu đương là chết với u sầu 
 Thì Thi đã biết cớ sao Thi buồn."
